Date,Open,High,Low,Volume,MarketCap,ETHOpen,ETHHigh,ETHLow,ETHClose,ETHVolume,ETHMarketCap,Close
16-Jun-14,592.65,608.72,587.07,28677500,7642482234,0,0,0,0,0,0,592.19
17-Jun-14,591.59,610.89,590.4,18597300,7886300055,0,0,0,0,0,0,610.86
18-Jun-14,609.77,615.88,604.4,17862000,7851200010,0,0,0,0,0,0,607.96
19-Jun-14,608.07,612.24,597.02,12803800,7726000792,0,0,0,0,0,0,598.07
20-Jun-14,597.4,599.75,587.76,18134100,7678074490,0,0,0,0,0,0,594.15
21-Jun-14,593.68,599.46,587.74,9256290,7691773955,0,0,0,0,0,0,594.99
22-Jun-14,595.9,606,594.63,10877700,7788609493,0,0,0,0,0,0,602.27
23-Jun-14,602.16,603.21,586.34,14053800,7684029467,0,0,0,0,0,0,593.98
24-Jun-14,593.97,596.97,582.36,14144900,7536340173,0,0,0,0,0,0,582.36
25-Jun-14,581.81,583.6,565.63,20687700,7331658430,0,0,0,0,0,0,566.34
26-Jun-14,566.14,581.63,564.73,14655900,7525767735,0,0,0,0,0,0,581.14
27-Jun-14,581.3,600.12,579.89,20814600,7737366940,0,0,0,0,0,0,597.26
28-Jun-14,599.08,604.47,595.92,13398100,7730991679,0,0,0,0,0,0,596.55
29-Jun-14,596.33,604.08,596.16,8897470,7813280835,0,0,0,0,0,0,602.72
30-Jun-14,602.62,645.16,599.88,46422400,8296103745,0,0,0,0,0,0,639.8
1-Jul-14,641.39,657.86,640.11,38446300,8311317901,0,0,0,0,0,0,640.81
2-Jul-14,641.04,656.68,638.34,25768200,8444194978,0,0,0,0,0,0,650.88
3-Jul-14,650.77,650.77,641.3,18949000,8372189412,0,0,0,0,0,0,645.16
4-Jul-14,644.65,648.43,629.4,22237200,8187107456,0,0,0,0,0,0,630.69
5-Jul-14,629.95,633.22,628,9105940,8199437572,0,0,0,0,0,0,631.46
6-Jul-14,631.77,638.65,631.16,10080000,8258179220,0,0,0,0,0,0,635.81
7-Jul-14,635.46,637.16,617.01,17813600,8108140914,0,0,0,0,0,0,624.09
8-Jul-14,622.57,626.7,620.91,10005500,8120056626,0,0,0,0,0,0,624.82
9-Jul-14,625.22,627,622.6,9819150,8118679451,0,0,0,0,0,0,624.51
10-Jul-14,624.83,626.12,612.35,15880700,8020234277,0,0,0,0,0,0,616.76
11-Jul-14,616.66,632.09,615.77,16467100,8220889623,0,0,0,0,0,0,632
12-Jul-14,631.88,636.66,626.98,13329000,8245635914,0,0,0,0,0,0,633.71
13-Jul-14,634.22,634.73,624.91,11291000,8154265678,0,0,0,0,0,0,626.5
14-Jul-14,626.56,627.34,617.32,12706800,8062877468,0,0,0,0,0,0,619.32
15-Jul-14,620,625.14,619.64,10873200,8094883399,0,0,0,0,0,0,621.59
16-Jul-14,622.01,623.09,615.33,13182400,8034806880,0,0,0,0,0,0,616.8
17-Jul-14,616.54,626.29,608.4,16576700,8119394873,0,0,0,0,0,0,623.09
18-Jul-14,622.37,629.21,620.47,14158100,8196212862,0,0,0,0,0,0,628.78
19-Jul-14,629.17,629.17,624.6,7222030,8195599907,0,0,0,0,0,0,628.52
20-Jul-14,628.56,628.56,622.78,5760120,8137808455,0,0,0,0,0,0,623.9
21-Jul-14,623.95,624.09,619.11,10711900,8118204691,0,0,0,0,0,0,622.21
22-Jul-14,622.27,624.3,620.96,9602880,8111799946,0,0,0,0,0,0,621.55
23-Jul-14,621.12,624.43,618.29,11056600,8086153118,0,0,0,0,0,0,619.41
24-Jul-14,619.5,620.43,595.57,20917200,7857489687,0,0,0,0,0,0,601.73
25-Jul-14,601.51,607.07,597.23,12279500,7851574790,0,0,0,0,0,0,601.09
26-Jul-14,601.54,602.09,593.96,10752900,7784669228,0,0,0,0,0,0,595.81
27-Jul-14,595.67,598.94,593.43,7774230,7761289329,0,0,0,0,0,0,593.85
