NasDaqopen,NasDaqClose,NasdaqLow,NasdaqHigh,NasdaqVolume,Date,Open,High,Low,Volume,MarketCap,Close
5905.63,5927.81,5901.77,5911.74,1902800000.00,3/31/2017,1026.64,1074.92,1026.64,447287008,17414322808,1071.79
5917.32,5928.93,5867.73,5894.68,1854200000.00,4/1/2017,1071.71,1091.72,1061.09,289633984,17557597716,1080.5
5917.32,5928.93,5867.73,5894.68,1854200000.00,4/2/2017,1080.61,1107.59,1075.45,514187008,17911915755,1102.17
5917.32,5928.93,5867.73,5894.68,1854200000.00,4/3/2017,1102.95,1151.74,1102.95,580444032,18591158323,1143.81
5878.76,5901.39,5878.76,5898.61,1790840000.00,4/4/2017,1145.52,1156.44,1120.52,436310016,18421262063,1133.25
5911.92,5936.39,5856.26,5864.48,2204490000.00,4/5/2017,1134.14,1135.09,1113.63,414784000,18285857775,1124.78
5870.52,5889.58,5856.22,5878.95,1845800000.00,4/6/2017,1125.81,1188.37,1125.81,511222016,19229356147,1182.68
5873.94,5892.07,5855.51,5877.81,1692150000.00,4/7/2017,1178.94,1186.58,1163.39,317022016,19137747435,1176.9
5883.43,5907.85,5865.56,5880.93,1630070000.00,4/8/2017,1172.65,1184.98,1162.58,209312000,19124327856,1175.95
5883.43,5907.85,5865.56,5880.93,1630070000.00,4/9/2017,1176.57,1197.21,1171.86,242343008,19320511927,1187.87
5883.43,5907.85,5865.56,5880.93,1630070000.00,4/10/2017,1187.3,1190.34,1179.04,215883008,19310642460,1187.13
5871.16,5878.94,5819.29,5866.77,1821650000.00,4/11/2017,1187.46,1208.07,1187.46,216182000,19604036563,1205.01
5863.59,5868.09,5830.44,5836.16,1658960000.00,4/12/2017,1204.81,1207.14,1196.76,288702016,19530680104,1200.37
5828.37,5856.54,5805.15,5805.15,1581870000.00,4/13/2017,1201.02,1205.89,1156.44,351968992,19026699552,1169.28
5821.55,5856.79,5818.20,5856.79,1381290000.00,4/14/2017,1170.33,1190.8,1159.79,254827008,19000400018,1167.54
5821.55,5856.79,5818.20,5856.79,1381290000.00,4/15/2017,1167.3,1188,1164.96,203559008,19083656460,1172.52
5821.55,5856.79,5818.20,5856.79,1381290000.00,4/16/2017,1172.61,1187.22,1172.61,183231008,19255408766,1182.94
5821.55,5856.79,5818.20,5856.79,1381290000.00,4/17/2017,1183.25,1194.9,1172.65,253206000,19436033390,1193.91
5838.59,5860.04,5828.57,5849.47,1608870000.00,4/18/2017,1193.77,1217.57,1193.77,270524000,19727334977,1211.67
5874.43,5894.68,5856.34,5863.03,1752620000.00,4/19/2017,1212.13,1215.51,1205.08,288060992,19707045565,1210.29
5887.87,5926.23,5880.20,5916.78,1749110000.00,4/20/2017,1211.08,1240.79,1208.41,315108000,20015137622,1229.08
5919.02,5919.23,5899.43,5910.52,1723210000.00,4/21/2017,1229.42,1235.94,1215.56,272167008,19903192286,1222.05
5979.96,5989.92,5970.25,5983.82,1836570000.00,4/22/2017,1222.71,1235.56,1208.47,249320000,20062753908,1231.71
5979.96,5989.92,5970.25,5983.82,1836570000.00,4/23/2017,1231.92,1232.2,1203.94,258951008,19665994145,1207.21
5979.96,5989.92,5970.25,5983.82,1836570000.00,4/24/2017,1209.63,1250.94,1209.63,235806000,20367443800,1250.15
6004.16,6036.02,6002.65,6025.49,1895430000.00,4/25/2017,1250.45,1267.58,1249.97,242556000,20619704237,1265.49
6028.12,6040.89,6021.72,6025.23,1894210000.00,4/26/2017,1265.99,1294.83,1265.93,329631008,20876159410,1281.08
6038.47,6050.70,6031.59,6048.94,1876700000.00,4/27/2017,1281.88,1319.7,1281.3,449196992,21475836448,1317.73
6072.87,6074.04,6040.71,6047.61,1995160000.00,4/28/2017,1317.74,1331.28,1292.37,527488992,21457669552,1316.48
6067.56,6100.73,6061.35,6091.60,1757000000.00,4/29/2017,1317.84,1327.2,1315.21,422705984,21547126640,1321.79
6067.56,6100.73,6061.35,6091.60,1757000000.00,4/30/2017,1321.87,1347.91,1314.92,413115008,21975104909,1347.89
6067.56,6100.73,6061.35,6091.60,1757000000.00,5/1/2017,1348.3,1434.32,1348.3,713624000,23179524919,1421.6
6102.51,6102.72,6081.56,6095.37,2146730000.00,5/2/2017,1421.03,1473.9,1415.69,477337984,23691443738,1452.82
6075.04,6076.96,6053.28,6072.55,2149360000.00,5/3/2017,1453.78,1492.77,1447.49,583795968,24301634925,1490.09
6075.06,6080.82,6054.33,6075.34,2056270000.00,5/4/2017,1490.72,1608.91,1490.72,933548992,25080858487,1537.67
6091.69,6100.76,6067.16,6100.76,1899570000.00,5/5/2017,1540.87,1618.03,1530.31,946035968,25373374563,1555.45
6100.66,6106.12,6083.06,6102.66,1909710000.00,5/6/2017,1556.81,1578.8,1542.5,582529984,25757608890,1578.8
6100.66,6106.12,6083.06,6102.66,1909710000.00,5/7/2017,1579.47,1596.72,1559.76,1080029952,26053077975,1596.71
6100.66,6106.12,6083.06,6102.66,1909710000.00,5/8/2017,1596.92,1723.35,1596.92,1340320000,28123369330,1723.35
6111.82,6133.00,6107.59,6120.59,1997490000.00,5/9/2017,1723.89,1833.49,1716.3,1167920000,28649119972,1755.36
6121.64,6131.64,6103.87,6129.14,2108000000.00,5/10/2017,1756.52,1788.44,1719.1,915723008,29170965564,1787.13
6110.05,6120.20,6075.68,6115.96,1950910000.00,5/11/2017,1780.37,1873.93,1755.35,799489984,30176934751,1848.57
6119.27,6122.84,6105.42,6121.23,1740960000.00,5/12/2017,1845.76,1856.15,1694.01,740984000,28150631936,1724.24
6128.11,6153.04,6124.79,6149.67,1850790000.00,5/13/2017,1723.12,1812.99,1651.08,579635008,29471223857,1804.91
6128.11,6153.04,6124.79,6149.67,1850790000.00,5/14/2017,1800.86,1831.42,1776.62,437196000,29540290794,1808.91
6128.11,6153.04,6124.79,6149.67,1850790000.00,5/15/2017,1808.44,1812.8,1708.54,731529024,28392885375,1738.43
6160.52,6170.16,6139.10,6169.87,1999330000.00,5/16/2017,1741.7,1785.94,1686.54,959044992,28330874003,1734.45
6108.62,6122.87,6009.48,6011.24,2347480000.00,5/17/2017,1726.73,1864.05,1661.91,1064729984,30043626195,1839.09
5998.46,6073.45,5996.81,6055.13,2131520000.00,5/18/2017,1818.7,1904.48,1807.12,894321024,30856574835,1888.65
6070.23,6106.55,6070.23,6083.70,1905520000.00,5/19/2017,1897.37,2004.52,1890.25,1157289984,32479082015,1987.71
6098.25,6135.92,6097.24,6133.62,1726230000.00,5/20/2017,1984.24,2084.73,1974.92,961336000,34068630559,2084.73
6098.25,6135.92,6097.24,6133.62,1726230000.00,5/21/2017,2067.03,2119.08,2037.5,1147859968,33361091114,2041.2
6098.25,6135.92,6097.24,6133.62,1726230000.00,5/22/2017,2043.19,2303.9,2017.87,1942220032,35525744380,2173.4
6149.55,6150.91,6121.79,6138.71,1705860000.00,5/23/2017,2191.56,2320.82,2178.5,1378749952,37933704066,2320.42
6154.18,6166.09,6139.33,6163.02,1666050000.00,5/24/2017,2321.37,2523.72,2321.37,1725379968,39952841999,2443.64
6183.02,6217.34,6174.52,6205.26,1767690000.00,5/25/2017,2446.24,2763.71,2285.3,2406700032,37690456715,2304.98
6207.04,6211.52,6196.66,6210.19,1571040000.00,5/26/2017,2320.89,2573.79,2071.99,1763480064,36017660894,2202.42
6204.18,6217.13,6200.41,6203.19,1688480000.00,5/27/2017,2196.27,2260.2,1855.83,1700480000,33347170525,2038.87
6204.18,6217.13,6200.41,6203.19,1688480000.00,5/28/2017,2054.08,2267.34,2054.08,1147139968,35264171110,2155.8
6204.18,6217.13,6200.41,6203.19,1688480000.00,5/29/2017,2159.43,2307.05,2107.17,994625024,36901102917,2255.61
6204.18,6217.13,6200.41,6203.19,1688480000.00,5/30/2017,2255.36,2301.96,2124.57,1443970048,35594903085,2175.47
6221.63,6221.99,6164.07,6198.52,2209400000.00,5/31/2017,2187.19,2311.08,2145.57,1544829952,37414813240,2286.41
6215.91,6247.07,6200.45,6246.83,1943610000.00,6/1/2017,2288.33,2448.39,2288.33,1653180032,39407633763,2407.88
6261.59,6308.76,6253.77,6305.80,1820000000.00,6/2/2017,2404.03,2488.55,2373.32,1317030016,40732491835,2488.55
6305.47,6310.62,6292.15,6295.68,1739820000.00,6/3/2017,2493.72,2581.91,2423.57,1514950016,41177190057,2515.35
6305.47,6310.62,6292.15,6295.68,1739820000.00,6/4/2017,2547.79,2585.89,2452.54,1355120000,41124262595,2511.81
6305.47,6310.62,6292.15,6295.68,1739820000.00,6/5/2017,2512.4,2686.81,2510.22,1369309952,43994968834,2686.81
6281.88,6304.21,6269.87,6275.06,1889690000.00,6/6/2017,2690.84,2999.91,2690.84,2089609984,46888622160,2863.2
6290.44,6302.78,6267.18,6297.38,1822270000.00,6/7/2017,2869.38,2869.38,2700.56,1517709952,44748237218,2732.16
6311.73,6324.06,6282.93,6321.76,2128780000.00,6/8/2017,2720.49,2815.3,2670.95,1281170048,45957247989,2805.62
6330.25,6341.70,6137.68,6207.92,3152050000.00,6/9/2017,2807.44,2901.71,2795.62,1348950016,46260465854,2823.81
6153.56,6183.81,6110.67,6175.46,2586540000.00,6/10/2017,2828.14,2950.99,2746.55,2018889984,48295501718,2947.71
6153.56,6183.81,6110.67,6175.46,2586540000.00,6/11/2017,2942.41,2996.6,2840.53,1752400000,48471330146,2958.11
6153.56,6183.81,6110.67,6175.46,2586540000.00,6/12/2017,2953.22,2997.26,2518.56,2569530112,43585351533,2659.63
6206.12,6226.41,6180.04,6220.37,2062110000.00,6/13/2017,2680.91,2789.04,2650.38,1781200000,44530631894,2717.02
6237.46,6237.53,6153.55,6194.89,1940440000.00,6/14/2017,2716.88,2786.83,2412.94,1696560000,41082567339,2506.37
6127.05,6170.15,6107.85,6165.50,1858130000.00,6/15/2017,2499.58,2534.71,2212.96,2026259968,40402259202,2464.58
6154.28,6161.56,6125.50,6151.76,3120640000.00,6/16/2017,2469.57,2539.92,2385.15,1195190016,41291821423,2518.56
6196.85,6243.31,6194.00,6239.01,1976970000.00,6/17/2017,2514.01,2685.19,2484.96,1534509952,43548031452,2655.88
